"";"original_glcm_SumEntropy";"original_glcm_Idn";"original_glcm_JointEntropy";"original_glcm_DifferenceEntropy";"original_glcm_DifferenceVariance";"original_glcm_DifferenceAverage";"original_glszm_SmallAreaEmphasis";"original_glcm_Idmn";"original_glrlm_GrayLevelNonUniformityNormalized";"original_glrlm_LongRunEmphasis";"original_gldm_SmallDependenceEmphasis";"original_gldm_LargeDependenceEmphasis";"original_glrlm_RunPercentage";"original_glrlm_ShortRunEmphasis";"original_glszm_LargeAreaEmphasis";"original_glcm_Imc1";"original_glcm_Autocorrelation"
"169";"[0,0.599]";"[0,0.621]";"[0,0.558]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"170";"[0,0.599]";"[0,0.621]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"(0.0692,1]";"(0.408,1]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"[0,0.00112]";"(0.723,1]";"[0,0.282]"
"171";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"(0.723,1]";"[0,0.282]"
"172";"[0,0.599]";"(0.621,1]";"(0.558,1]";"(0.534,1]";"[0,0.0829]";"(0.247,1]";"(0.674,1]";"(0.781,1]";"(0.147,1]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"(0.00112,1]";"(0.723,1]";"(0.282,1]"
"173";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"[0,0.723]";"(0.282,1]"
"174";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"[0,0.674]";"[0,0.781]";"[0,0.147]";"(0.0692,1]";"(0.408,1]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"175";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"(0.723,1]";"(0.282,1]"
"176";"[0,0.599]";"(0.621,1]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"(0.781,1]";"(0.147,1]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"(0.00112,1]";"(0.723,1]";"(0.282,1]"
"177";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"(0.723,1]";"[0,0.282]"
"178";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"(0.723,1]";"(0.282,1]"
"179";"(0.599,1]";"(0.621,1]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"(0.781,1]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"(0.723,1]";"(0.282,1]"
"180";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"[0,0.723]";"(0.282,1]"
"181";"[0,0.599]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"(0.781,1]";"(0.147,1]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"(0.00112,1]";"(0.723,1]";"(0.282,1]"
"182";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"(0.723,1]";"[0,0.282]"
"183";"[0,0.599]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"(0.723,1]";"[0,0.282]"
"184";"(0.599,1]";"(0.621,1]";"(0.558,1]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"[0,0.147]";"[0,0.0692]";"[0,0.408]";"[0,0.108]";"[0,0.789]";"[0,0.792]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"185";"[0,0.599]";"[0,0.621]";"[0,0.558]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"(0.0692,1]";"(0.408,1]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"186";"[0,0.599]";"[0,0.621]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"[0,0.781]";"[0,0.147]";"(0.0692,1]";"(0.408,1]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"187";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"(0.723,1]";"[0,0.282]"
"188";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"(0.147,1]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"(0.723,1]";"(0.282,1]"
"189";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"190";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"(0.723,1]";"[0,0.282]"
"191";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"(0.0829,1]";"[0,0.247]";"(0.674,1]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"(0.723,1]";"(0.282,1]"
"192";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"[0,0.723]";"[0,0.282]"
"193";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"[0,0.674]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"194";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"[0,0.0829]";"(0.247,1]";"[0,0.674]";"[0,0.781]";"[0,0.147]";"(0.0692,1]";"(0.408,1]";"(0.108,1]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"195";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"(0.674,1]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"[0,0.723]";"(0.282,1]"
"196";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"(0.674,1]";"[0,0.781]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"(0.723,1]";"[0,0.282]"
"197";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"(0.723,1]";"(0.282,1]"
"198";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"(0.723,1]";"(0.282,1]"
"199";"[0,0.599]";"[0,0.621]";"[0,0.558]";"[0,0.534]";"(0.0829,1]";"[0,0.247]";"(0.674,1]";"[0,0.781]";"(0.147,1]";"(0.0692,1]";"(0.408,1]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"[0,0.00112]";"(0.723,1]";"[0,0.282]"
"200";"[0,0.599]";"[0,0.621]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"(0.674,1]";"[0,0.781]";"(0.147,1]";"(0.0692,1]";"(0.408,1]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"[0,0.00112]";"(0.723,1]";"[0,0.282]"
"201";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"(0.723,1]";"(0.282,1]"
"202";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"[0,0.108]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"(0.723,1]";"(0.282,1]"
"203";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"[0,0.674]";"[0,0.781]";"[0,0.147]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"204";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"(0.674,1]";"(0.781,1]";"(0.147,1]";"[0,0.0692]";"[0,0.408]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"(0.00112,1]";"(0.723,1]";"(0.282,1]"
"205";"(0.599,1]";"[0,0.621]";"[0,0.558]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"(0.0692,1]";"(0.408,1]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"206";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"(0.723,1]";"[0,0.282]"
"207";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"(0.0829,1]";"[0,0.247]";"(0.674,1]";"[0,0.781]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"[0,0.00112]";"[0,0.723]";"(0.282,1]"
"208";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"(0.723,1]";"[0,0.282]"
"209";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"[0,0.723]";"[0,0.282]"
"210";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"(0.0829,1]";"[0,0.247]";"(0.674,1]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"[0,0.723]";"(0.282,1]"
"211";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"(0.723,1]";"[0,0.282]"
"212";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"[0,0.723]";"(0.282,1]"
"213";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"[0,0.674]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"[0,0.723]";"(0.282,1]"
"214";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"[0,0.723]";"(0.282,1]"
"215";"[0,0.599]";"[0,0.621]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"[0,0.781]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"[0,0.723]";"[0,0.282]"
"216";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"(0.723,1]";"[0,0.282]"
"217";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"[0,0.0829]";"(0.247,1]";"[0,0.674]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"218";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"(0.723,1]";"(0.282,1]"
"219";"(0.599,1]";"(0.621,1]";"(0.558,1]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"[0,0.147]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"220";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"(0.723,1]";"[0,0.282]"
"221";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"(0.723,1]";"[0,0.282]"
"222";"[0,0.599]";"[0,0.621]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"(0.674,1]";"[0,0.781]";"(0.147,1]";"(0.0692,1]";"(0.408,1]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"223";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"(0.674,1]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"(0.723,1]";"(0.282,1]"
"224";"(0.599,1]";"[0,0.621]";"(0.558,1]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"[0,0.147]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"225";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"(0.0692,1]";"(0.408,1]";"(0.108,1]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"226";"[0,0.599]";"[0,0.621]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"[0,0.781]";"(0.147,1]";"[0,0.0692]";"[0,0.408]";"[0,0.108]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"(0.723,1]";"[0,0.282]"
"227";"[0,0.599]";"[0,0.621]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"[0,0.781]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"[0,0.00112]";"(0.723,1]";"[0,0.282]"
"228";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"(0.0829,1]";"[0,0.247]";"(0.674,1]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"[0,0.723]";"(0.282,1]"
"229";"[0,0.599]";"[0,0.621]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"[0,0.781]";"(0.147,1]";"(0.0692,1]";"(0.408,1]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"230";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"(0.723,1]";"(0.282,1]"
"231";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"[0,0.723]";"(0.282,1]"
"232";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"[0,0.723]";"[0,0.282]"
"233";"[0,0.599]";"(0.621,1]";"[0,0.558]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"(0.781,1]";"(0.147,1]";"[0,0.0692]";"[0,0.408]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"(0.00112,1]";"(0.723,1]";"(0.282,1]"
"234";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"[0,0.0829]";"[0,0.247]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"[0,0.789]";"[0,0.792]";"[0,0.00112]";"(0.723,1]";"[0,0.282]"
"235";"[0,0.599]";"[0,0.621]";"[0,0.558]";"(0.534,1]";"[0,0.0829]";"(0.247,1]";"[0,0.674]";"[0,0.781]";"[0,0.147]";"(0.0692,1]";"(0.408,1]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"236";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"[0,0.0829]";"(0.247,1]";"[0,0.674]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"(0.108,1]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"237";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"[0,0.674]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"238";"(0.599,1]";"(0.621,1]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"[0,0.674]";"(0.781,1]";"[0,0.147]";"(0.0692,1]";"(0.408,1]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"[0,0.723]";"(0.282,1]"
"239";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"[0,0.723]";"[0,0.282]"
"240";"(0.599,1]";"[0,0.621]";"(0.558,1]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"[0,0.408]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"241";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"[0,0.723]";"[0,0.282]"
"242";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"[0,0.674]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"243";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"[0,0.0692]";"[0,0.408]";"[0,0.108]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"(0.723,1]";"(0.282,1]"
"244";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"[0,0.723]";"[0,0.282]"
"245";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"[0,0.674]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"246";"(0.599,1]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"(0.0829,1]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"[0,0.723]";"(0.282,1]"
"247";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"(0.723,1]";"(0.282,1]"
"248";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"(0.723,1]";"[0,0.282]"
"249";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"(0.674,1]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"(0.723,1]";"(0.282,1]"
"250";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"(0.674,1]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"(0.723,1]";"(0.282,1]"
"251";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"[0,0.723]";"(0.282,1]"
"252";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"253";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"[0,0.723]";"(0.282,1]"
